CustomerID,Country,AcquisitionChannel,SignupDate
C10000,UK,Referral,2026-06-10
C10001,Germany,Organic,2025-11-21
C10002,UK,Referral,2026-04-19
C10003,UK,Organic,2025-09-03
C10004,Netherlands,Referral,2026-03-19
C10005,France,Social,2025-05-10
C10006,France,Referral,2026-03-14
C10007,France,Social,2026-02-14
C10008,UK,Paid Search,2026-05-13
C10009,UK,Organic,2025-10-31
C10010,Italy,Email,2025-09-22
C10011,UK,Referral,2026-04-23
C10012,Spain,Affiliate,2025-03-21
C10013,Spain,Social,2025-10-03
C10014,UK,Paid Search,2025-09-01
C10015,France,Organic,2025-07-25
C10016,Germany,Referral,2026-04-18
C10017,France,Email,2026-03-30
C10018,Germany,Referral,2025-05-24
C10019,UK,Organic,2025-03-16
C10020,UK,Social,2026-06-19
C10021,France,Social,2026-02-26
C10022,Germany,Social,2025-10-07
C10023,Netherlands,Email,2025-03-25
C10024,Germany,Organic,2025-10-24
C10025,UK,Email,2025-08-10
C10026,UK,Social,2025-02-03
C10027,UK,Paid Search,2026-03-08
C10028,Netherlands,Organic,2025-06-19
C10029,UK,Social,2025-11-21
C10030,UK,Organic,2025-11-21
C10031,Spain,Paid Search,2025-05-28
C10032,France,Paid Search,2026-04-20
C10033,UK,Social,2026-05-08
C10034,Germany,Organic,2026-01-05
C10035,UK,Referral,2025-04-20
C10036,France,Paid Search,2025-07-23
C10037,UK,Email,2026-02-19
C10038,Germany,Affiliate,2025-07-09
C10039,Spain,Organic,2025-12-23
C10040,Netherlands,Paid Search,2025-02-25
C10041,UK,Email,2026-05-28
C10042,Italy,Email,2025-05-03
C10043,France,Organic,2026-01-22
C10044,Netherlands,Email,2026-01-21
C10045,Netherlands,Paid Search,2025-11-13
C10046,Spain,Social,2026-01-10
C10047,UK,Paid Search,2026-06-03
C10048,Netherlands,Affiliate,2025-03-09
C10049,Spain,Paid Search,2025-09-13
C10050,Spain,Paid Search,2025-11-27
C10051,UK,Email,2025-04-01
C10052,Germany,Paid Search,2026-02-21
C10053,Germany,Organic,2026-06-01
C10054,Germany,Paid Search,2026-02-08
C10055,Germany,Paid Search,2025-08-31
C10056,UK,Social,2025-04-08
C10057,Italy,Paid Search,2025-05-18
C10058,UK,Paid Search,2026-04-04
C10059,France,Affiliate,2025-07-31
C10060,France,Organic,2026-02-05
C10061,Italy,Social,2025-08-30
C10062,UK,Organic,2026-01-16
C10063,UK,Organic,2025-08-18
C10064,Spain,Referral,2025-03-22
C10065,UK,Organic,2025-02-02
C10066,Netherlands,Affiliate,2025-03-23
C10067,Netherlands,Organic,2025-08-22
C10068,Spain,Paid Search,2025-05-27
C10069,Italy,Social,2025-02-24
C10070,UK,Social,2025-08-16
C10071,UK,Social,2025-02-16
C10072,UK,Affiliate,2026-05-21
C10073,Netherlands,Social,2025-01-25
C10074,UK,Email,2026-06-15
C10075,France,Social,2025-03-30
C10076,Spain,Social,2025-08-26
C10077,France,Affiliate,2025-09-29
C10078,Netherlands,Paid Search,2026-03-08
C10079,UK,Social,2026-05-01
C10080,UK,Organic,2025-03-02
C10081,UK,Paid Search,2025-05-30
C10082,Netherlands,Organic,2025-12-21
C10083,UK,Social,2025-12-25
C10084,Germany,Social,2025-06-06
C10085,Germany,Paid Search,2025-11-05
C10086,France,Organic,2026-02-18
C10087,UK,Organic,2026-03-02
C10088,France,Affiliate,2026-02-23
C10089,Italy,Email,2025-01-04
C10090,Germany,Paid Search,2025-08-19
C10091,France,Organic,2025-04-11
C10092,Italy,Organic,2025-03-06
C10093,Spain,Email,2025-04-10
C10094,Germany,Paid Search,2025-01-31
C10095,UK,Social,2025-04-05
C10096,Spain,Affiliate,2025-04-07
C10097,Netherlands,Email,2026-01-10
C10098,Netherlands,Organic,2025-03-08
C10099,Spain,Referral,2025-04-15
C10100,Netherlands,Referral,2025-04-09
C10101,Germany,Email,2025-11-04
C10102,Germany,Social,2025-04-29
C10103,Spain,Email,2026-02-15
C10104,Spain,Social,2026-01-27
C10105,UK,Paid Search,2026-01-11
C10106,UK,Paid Search,2025-09-25
C10107,Germany,Organic,2025-02-12
C10108,Germany,Paid Search,2026-01-04
C10109,Italy,Organic,2025-04-11
C10110,Germany,Organic,2025-02-17
C10111,Germany,Paid Search,2026-01-13
C10112,UK,Organic,2025-03-17
C10113,Netherlands,Affiliate,2025-05-05
C10114,Italy,Affiliate,2026-02-11
C10115,UK,Social,2026-05-15
C10116,France,Paid Search,2025-12-18
C10117,UK,Referral,2026-03-23
C10118,UK,Affiliate,2025-01-27
C10119,Italy,Paid Search,2025-05-23
C10120,Germany,Organic,2025-01-07
C10121,Germany,Referral,2026-05-13
C10122,Netherlands,Email,2025-12-23
C10123,France,Paid Search,2025-05-16
C10124,UK,Affiliate,2026-04-28
C10125,Spain,Paid Search,2025-06-01
C10126,UK,Organic,2025-12-15
C10127,Netherlands,Referral,2025-11-14
C10128,France,Social,2026-01-27
C10129,Germany,Paid Search,2025-01-28
C10130,Italy,Paid Search,2026-02-17
