ProductID,ProductName,Category,UnitCost,ListPrice
P2000,Product 01,Beauty,20.01,46.3
P2001,Product 02,Electronics,67.86,159.31
P2002,Product 03,Beauty,36.16,61.12
P2003,Product 04,Sports,103.86,246.21
P2004,Product 05,Sports,82.13,229.05
P2005,Product 06,Sports,21.42,39.38
P2006,Product 07,Electronics,90.83,200.16
P2007,Product 08,Apparel,81.19,138.2
P2008,Product 09,Beauty,64.11,126.24
P2009,Product 10,Home,89.03,195.13
P2010,Product 11,Electronics,105.58,212.84
P2011,Product 12,Electronics,25.59,43.62
P2012,Product 13,Home,91.5,250.58
P2013,Product 14,Beauty,14.91,32.18
P2014,Product 15,Beauty,105.6,279.48
P2015,Product 16,Home,32.67,56.68
P2016,Product 17,Electronics,23.99,66.65
P2017,Product 18,Apparel,42.64,69.06
P2018,Product 19,Apparel,23.1,60.58
P2019,Product 20,Sports,28.46,61.03
P2020,Product 21,Home,96.28,147.84
P2021,Product 22,Electronics,75.19,147.18
P2022,Product 23,Beauty,39.69,79.46
P2023,Product 24,Apparel,99.43,207.17
P2024,Product 25,Electronics,38.64,85.56
P2025,Product 26,Electronics,59.62,149.3
P2026,Product 27,Beauty,25.88,63.53
P2027,Product 28,Electronics,39.51,103.84
P2028,Product 29,Beauty,49.21,76.08
P2029,Product 30,Apparel,30.95,55.54
P2030,Product 31,Electronics,81.44,160.67
P2031,Product 32,Sports,54.53,117.07
P2032,Product 33,Apparel,83.59,176.17
P2033,Product 34,Apparel,102.58,280.83
P2034,Product 35,Electronics,84.74,206.91
P2035,Product 36,Beauty,33.04,85.13
P2036,Product 37,Apparel,79.57,186.92
P2037,Product 38,Home,19.43,42.14
P2038,Product 39,Sports,61.98,100.85
P2039,Product 40,Beauty,88.55,225.55
P2040,Product 41,Electronics,46.24,112.16
P2041,Product 42,Apparel,53.15,104.66
P2042,Product 43,Sports,21.36,43.17
P2043,Product 44,Electronics,34.43,56.92
P2044,Product 45,Electronics,96.39,166.51
P2045,Product 46,Sports,54.87,109.92
P2046,Product 47,Sports,41.9,79.58
P2047,Product 48,Sports,23.95,36.37
P2048,Product 49,Home,26.01,65.12
P2049,Product 50,Apparel,75.64,173.14
P2050,Product 51,Beauty,47.62,83.27
P2051,Product 52,Home,21.09,56.25
P2052,Product 53,Beauty,85.13,212.17
P2053,Product 54,Electronics,95.73,175.96
P2054,Product 55,Beauty,19.42,50.24
P2055,Product 56,Sports,14.94,29.55
P2056,Product 57,Home,12.18,29.13
P2057,Product 58,Beauty,24.55,53.8
P2058,Product 59,Electronics,56.31,124.87
P2059,Product 60,Electronics,74.58,192.13
P2060,Product 61,Sports,91.93,225.41
P2061,Product 62,Sports,92.46,150.56
P2062,Product 63,Beauty,69.71,151.88
P2063,Product 64,Sports,107.79,241.07
P2064,Product 65,Sports,92.82,194.3
P2065,Product 66,Electronics,74.22,160.54
P2066,Product 67,Beauty,21.23,45.94
P2067,Product 68,Sports,89.48,177.38
P2068,Product 69,Home,54.46,128.05
P2069,Product 70,Apparel,90.63,175.87
P2070,Product 71,Sports,80.41,185.88
P2071,Product 72,Beauty,72.34,202.22
P2072,Product 73,Sports,85.85,152.66
P2073,Product 74,Apparel,103.53,278.8
P2074,Product 75,Sports,60.53,130.38
P2075,Product 76,Electronics,49.49,125.61
P2076,Product 77,Apparel,94.33,153.36
P2077,Product 78,Apparel,99.36,190.12
P2078,Product 79,Beauty,80.99,151.9
P2079,Product 80,Apparel,76.11,150.73
