Month,AcquisitionChannel,Spend
2025-01-01,Paid Search,19415.71
2025-01-01,Organic,2957.12
2025-01-01,Email,4809.64
2025-01-01,Social,7805.47
2025-01-01,Affiliate,6381.03
2025-01-01,Referral,3855.51
2025-02-01,Paid Search,16345.59
2025-02-01,Organic,2336.12
2025-02-01,Email,3771.95
2025-02-01,Social,8516.79
2025-02-01,Affiliate,6161.87
2025-02-01,Referral,3220.27
2025-03-01,Paid Search,18505.56
2025-03-01,Organic,2497.33
2025-03-01,Email,4348.91
2025-03-01,Social,8846.59
2025-03-01,Affiliate,6838.97
2025-03-01,Referral,4160.52
2025-04-01,Paid Search,21133.08
2025-04-01,Organic,2644.92
2025-04-01,Email,4225.26
2025-04-01,Social,9648.05
2025-04-01,Affiliate,6109.61
2025-04-01,Referral,3771.84
2025-05-01,Paid Search,18045.57
2025-05-01,Organic,2347.57
2025-05-01,Email,3475.79
2025-05-01,Social,8668.28
2025-05-01,Affiliate,6495.01
2025-05-01,Referral,3936.79
2025-06-01,Paid Search,15324.92
2025-06-01,Organic,2327.67
2025-06-01,Email,4172.95
2025-06-01,Social,10561.79
2025-06-01,Affiliate,6006.88
2025-06-01,Referral,3337.32
2025-07-01,Paid Search,19810.65
2025-07-01,Organic,2512.27
2025-07-01,Email,4130.91
2025-07-01,Social,8662.29
2025-07-01,Affiliate,6549.83
2025-07-01,Referral,3316.3
2025-08-01,Paid Search,19401.65
2025-08-01,Organic,2684.32
2025-08-01,Email,3882.64
2025-08-01,Social,9295.58
2025-08-01,Affiliate,5810.52
2025-08-01,Referral,3500.91
2025-09-01,Paid Search,18264.93
2025-09-01,Organic,2777.67
2025-09-01,Email,4477.55
2025-09-01,Social,8863.91
2025-09-01,Affiliate,6021.59
2025-09-01,Referral,3203.57
2025-10-01,Paid Search,18864.46
2025-10-01,Organic,2410.57
2025-10-01,Email,4276.67
2025-10-01,Social,7955.11
2025-10-01,Affiliate,7071.97
2025-10-01,Referral,2723.07
2025-11-01,Paid Search,19715.23
2025-11-01,Organic,2071.78
2025-11-01,Email,4308.08
2025-11-01,Social,8908.82
2025-11-01,Affiliate,6655.74
2025-11-01,Referral,4191.47
2025-12-01,Paid Search,21020.4
2025-12-01,Organic,2334.85
2025-12-01,Email,3806.25
2025-12-01,Social,9373.93
2025-12-01,Affiliate,6570.7
2025-12-01,Referral,3419.32
2026-01-01,Paid Search,20945.05
2026-01-01,Organic,2072.95
2026-01-01,Email,4171.0
2026-01-01,Social,8555.09
2026-01-01,Affiliate,6078.52
2026-01-01,Referral,2883.68
2026-02-01,Paid Search,16195.96
2026-02-01,Organic,2446.92
2026-02-01,Email,4959.71
2026-02-01,Social,8674.65
2026-02-01,Affiliate,5916.66
2026-02-01,Referral,3619.63
2026-03-01,Paid Search,20458.85
2026-03-01,Organic,2405.65
2026-03-01,Email,3924.12
2026-03-01,Social,10043.76
2026-03-01,Affiliate,5869.41
2026-03-01,Referral,4200.04
2026-04-01,Paid Search,14972.0
2026-04-01,Organic,2666.71
2026-04-01,Email,4209.39
2026-04-01,Social,8744.61
2026-04-01,Affiliate,4971.11
2026-04-01,Referral,3646.39
2026-05-01,Paid Search,15282.29
2026-05-01,Organic,2487.88
2026-05-01,Email,4331.98
2026-05-01,Social,6077.19
2026-05-01,Affiliate,6593.39
2026-05-01,Referral,3032.59
2026-06-01,Paid Search,18501.66
2026-06-01,Organic,3045.71
2026-06-01,Email,3852.06
2026-06-01,Social,9296.21
2026-06-01,Affiliate,5902.69
2026-06-01,Referral,3345.63
