OrderID,ReturnDate,ProductID,ReturnQuantity,ReturnReason,RefundValue,ReturnCost
O500033,2026-01-15,P2028,1,Quality Issue,76.08,52.71
O500066,2026-02-23,P2001,2,Changed Mind,318.62,139.22
O500131,2026-06-06,P2070,2,Changed Mind,371.76,164.32
O500180,2025-07-21,P2043,1,Quality Issue,56.92,37.93
O500215,2026-06-06,P2057,1,Damaged,53.8,28.05
O500251,2026-07-04,P2050,1,Changed Mind,83.27,51.12
O500259,2025-10-17,P2028,2,Changed Mind,152.16,101.92
O500289,2026-07-11,P2052,1,Quality Issue,212.17,88.63
O500311,2026-04-17,P2007,1,Size/Fit,138.2,84.69
O500340,2025-05-26,P2029,1,Quality Issue,55.54,34.45
O500343,2025-02-20,P2049,2,Damaged,346.28,154.78
O500385,2025-03-11,P2072,1,Quality Issue,152.66,89.35
O500408,2026-01-27,P2055,1,Changed Mind,29.55,18.44
O500415,2026-06-22,P2038,1,Quality Issue,100.85,65.48
O500445,2025-05-16,P2024,1,Damaged,85.56,42.14
O500476,2025-08-24,P2048,1,Quality Issue,65.12,29.51
O500487,2026-07-04,P2064,1,Size/Fit,194.3,96.32
O500499,2025-12-12,P2043,1,Damaged,56.92,37.93
O500567,2026-07-06,P2032,1,Size/Fit,176.17,87.09
O500580,2026-02-08,P2007,1,Quality Issue,138.2,84.69
O500591,2026-05-02,P2072,1,Changed Mind,152.66,89.35
O500592,2025-12-30,P2052,2,Size/Fit,424.34,173.76
O500593,2026-03-14,P2031,1,Quality Issue,117.07,58.03
O500609,2025-10-10,P2069,1,Quality Issue,175.87,94.13
O500620,2026-06-03,P2001,1,Damaged,159.31,71.36
O500647,2025-02-27,P2076,1,Quality Issue,153.36,97.83
O500654,2026-03-23,P2021,1,Damaged,147.18,78.69
O500659,2025-09-25,P2044,2,Size/Fit,333.02,196.28
O500676,2026-02-18,P2005,2,Changed Mind,78.76,46.34
O500703,2026-02-03,P2045,1,Wrong Item,109.92,58.37
O500705,2026-03-08,P2061,2,Damaged,301.12,188.42
O500732,2026-05-04,P2030,1,Wrong Item,160.67,84.94
O500766,2025-11-21,P2038,1,Damaged,100.85,65.48
O500771,2025-05-24,P2078,1,Size/Fit,151.9,84.49
O500776,2025-11-05,P2077,1,Size/Fit,190.12,102.86
O500850,2025-03-02,P2022,1,Changed Mind,79.46,43.19
O500891,2026-03-19,P2019,1,Quality Issue,61.03,31.96
O500902,2025-07-30,P2058,1,Size/Fit,124.87,59.81
O500905,2026-04-10,P2011,1,Quality Issue,43.62,29.09
O500980,2026-04-02,P2014,1,Wrong Item,279.48,109.1
O501015,2025-11-25,P2065,1,Changed Mind,160.54,77.72
O501040,2025-03-22,P2057,1,Changed Mind,53.8,28.05
O501097,2025-07-13,P2075,1,Damaged,125.61,52.99
O501122,2025-04-12,P2004,1,Damaged,229.05,85.63
O501155,2025-07-04,P2018,1,Size/Fit,60.58,26.6
O501176,2025-06-29,P2079,1,Changed Mind,150.73,79.61
O501196,2026-05-06,P2062,1,Size/Fit,151.88,73.21
O501217,2026-04-06,P2005,1,Changed Mind,39.38,24.92
O501225,2025-07-08,P2035,1,Damaged,85.13,36.54
O501226,2025-12-06,P2034,1,Damaged,206.91,88.24
O501248,2026-06-22,P2048,1,Size/Fit,65.12,29.51
O501254,2025-05-08,P2072,1,Size/Fit,152.66,89.35
O501284,2026-06-20,P2026,1,Size/Fit,63.53,29.38
O501321,2025-09-05,P2069,1,Changed Mind,175.87,94.13
O501353,2026-05-26,P2061,2,Changed Mind,301.12,188.42
O501366,2025-10-20,P2045,2,Size/Fit,219.84,113.24
O501379,2025-03-26,P2056,2,Quality Issue,58.26,27.86
O501386,2025-08-29,P2032,1,Size/Fit,176.17,87.09
O501399,2026-06-07,P2054,1,Changed Mind,50.24,22.92
O501411,2025-05-09,P2011,1,Wrong Item,43.62,29.09
O501540,2025-03-23,P2065,2,Damaged,321.08,151.94
O501558,2025-02-19,P2042,1,Changed Mind,43.17,24.86
O501590,2025-02-23,P2017,1,Damaged,69.06,46.14
O501592,2025-04-04,P2068,1,Changed Mind,128.05,57.96
O501645,2026-04-27,P2079,1,Quality Issue,150.73,79.61
O501653,2025-12-16,P2035,1,Changed Mind,85.13,36.54
O501655,2026-06-25,P2028,1,Quality Issue,76.08,52.71
O501660,2026-04-29,P2078,1,Size/Fit,151.9,84.49
O501679,2025-03-21,P2007,2,Changed Mind,276.4,165.88
O501681,2025-05-20,P2049,1,Damaged,173.14,79.14
O501688,2025-02-04,P2079,1,Changed Mind,150.73,79.61
O501691,2025-07-15,P2044,1,Damaged,166.51,99.89
O501693,2025-05-22,P2001,2,Size/Fit,318.62,139.22
O501702,2026-05-10,P2046,1,Damaged,79.58,45.4
O501721,2026-06-01,P2052,1,Quality Issue,212.17,88.63
O501729,2025-03-10,P2012,1,Damaged,250.58,95.0
