OrderID,OrderDate,CustomerID,ProductID,Quantity,DiscountRate,UnitCost,ListPrice,Category,GrossSales,DiscountValue,NetSales,COGS,ShippingCost,PaymentCost
O500000,2025-09-29,C10770,P2003,1,0.15,103.86,246.21,Sports,246.21,36.93,209.28,103.86,6.36,4.16
O500001,2025-11-18,C10318,P2049,1,0.0,75.64,173.14,Apparel,173.14,0.0,173.14,75.64,7.44,4.34
O500002,2025-01-17,C11032,P2060,1,0.1,91.93,225.41,Sports,225.41,22.54,202.87,91.93,3.09,3.82
O500003,2026-01-22,C10579,P2066,1,0.15,21.23,45.94,Beauty,45.94,6.89,39.05,21.23,4.34,1.06
O500004,2025-10-08,C10403,P2066,3,0.1,21.23,45.94,Beauty,137.82,13.78,124.04,63.69,6.55,2.38
O500005,2025-04-04,C10313,P2020,1,0.1,96.28,147.84,Home,147.84,14.78,133.06,96.28,5.32,2.89
O500006,2025-02-01,C10286,P2070,2,0.15,80.41,185.88,Sports,371.76,55.76,316.0,160.82,3.38,7.53
O500007,2025-09-18,C11185,P2020,2,0.0,96.28,147.84,Home,295.68,0.0,295.68,192.56,7.06,5.81
O500008,2025-06-14,C10831,P2065,2,0.15,74.22,160.54,Electronics,321.08,48.16,272.92,148.44,5.86,8.35
O500009,2026-02-08,C10344,P2031,1,0.15,54.53,117.07,Sports,117.07,17.56,99.51,54.53,5.06,2.2
O500010,2025-03-18,C10556,P2076,1,0.05,94.33,153.36,Apparel,153.36,7.67,145.69,94.33,6.12,4.58
O500011,2026-02-16,C10377,P2072,1,0.15,85.85,152.66,Sports,152.66,22.9,129.76,85.85,5.46,3.22
O500012,2025-10-25,C10929,P2076,2,0.05,94.33,153.36,Apparel,306.72,15.34,291.38,188.66,6.45,6.98
O500013,2025-12-07,C10490,P2016,3,0.1,23.99,66.65,Electronics,199.95,20.0,179.96,71.97,3.07,4.96
O500014,2026-04-06,C10765,P2014,3,0.0,105.6,279.48,Beauty,838.44,0.0,838.44,316.8,4.69,17.61
O500015,2026-03-24,C10731,P2068,1,0.15,54.46,128.05,Home,128.05,19.21,108.84,54.46,5.86,2.98
O500016,2025-04-11,C10832,P2040,3,0.05,46.24,112.16,Electronics,336.48,16.82,319.66,138.72,2.5,5.77
O500017,2025-12-06,C10762,P2012,3,0.15,91.5,250.58,Home,751.74,112.76,638.98,274.5,7.45,18.5
O500018,2026-06-09,C10862,P2015,2,0.15,32.67,56.68,Home,113.36,17.0,96.36,65.34,5.02,3.04
